latitude,longitude,floor_material,bike,car,pigs,celular,moto,telephone,tv,wash_after_poop,water_source,sex,age
-25.4562671565,32.7519904271,Cement,no,no,no,yes,no,no,no,"yes, with water and soap",Piped water in the yard,female,28.6301364878304
-25.4316020239,32.6970336201,Cement,no,no,no,NA,no,yes,no,Nothing,Piped water in the yard,male,56.4650867067883
-25.5086503425,32.7312186983,Cement,no,no,no,yes,no,no,yes,Nothing,Piped water in the yard,female,42.1127157381023
-25.1892609198,32.838104878,Cement,yes,no,no,yes,no,no,yes,"Only water, without soap",Piped water in the yard,female,20.353781461372
-25.0955061776,32.9078843293,Adobe,no,no,no,yes,no,no,no,NA,Unprotected well,male,39.9138313043123
-25.1646700077,32.7970487637,Mosaic / Hardboard,no,no,no,no,no,no,yes,"Only water, without soap",Piped water in the yard,male,24.4723014681908
-25.263537083,32.8731530506,Cement,yes,no,no,yes,no,no,no,"yes, with water and soap",Piped water in the yard,female,21.3201265733928
-25.0131783638,32.8552150617,Without,no,no,no,yes,no,no,no,NA,Protected well,female,32.5137431387335
-25.4011492435,32.7989999684,Cement,no,yes,no,yes,no,no,yes,"yes, with water and soap",Piped water in the house,female,19.58042927695
-25.4233793666,32.7891574988,Cement,no,yes,no,yes,no,no,yes,"yes, with water and soap",Piped water in the yard,female,56.9168977433053
-25.3485739364,32.9353756987,Adobe,no,no,yes,yes,no,no,no,Nothing,NA,male,37.8491969159296
-25.5818634211,32.6719119416,Adobe,no,no,no,no,no,no,no,NA,Piped water in the yard,female,35.9516503386683
-25.189328409,32.8327508943,Cement,no,no,no,no,no,no,no,Nothing,NA,female,29.821310321228
-25.36296337,32.7647842425,Cement,no,no,no,yes,no,no,yes,Only soap,Piped water in the yard,female,30.7917246664973
-25.3624034085,32.9323425502,Cement,no,no,no,yes,no,no,yes,Nothing,Piped water in the yard,female,20.1368245404185
-25.0576415845,32.7755312937,Cement,no,no,no,NA,no,yes,no,"Only water, without soap",Piped water in the yard,male,45.4818786592111
-25.1071876809,32.9052083791,Cement,no,no,yes,yes,no,no,yes,NA,Piped water in the yard,female,46.1344822487034
-25.5819192475,32.7003050283,Cement,no,no,no,yes,no,no,no,"Only water, without soap",Piped water in the yard,male,40.6222635930727
-25.2408753322,32.8624026478,Cement,no,no,yes,NA,no,yes,no,"Only water, without soap",Piped water in the yard,female,20.4411714196959
-25.4101706286,32.8004974614,Cement,yes,no,no,yes,no,no,no,NA,Fontenary,male,50.6877762525756
-25.2243420125,32.6606560151,Cement,no,no,no,yes,no,no,yes,"Only water, without soap",Piped water in the yard,female,44.4530061390901
-25.3031748327,32.8366247795,Cement,no,no,no,NA,no,yes,yes,"Only water, without soap",Piped water in the yard,female,36.8860484620443
-25.2731537978,32.8599151943,Cement,no,no,no,yes,no,no,yes,NA,Piped water in the yard,female,29.6935227065119
-25.5484403983,32.6601970632,Cement,no,no,no,yes,no,no,yes,Nothing,Piped water in the yard,male,32.6250167907453
-25.4770051418,32.7493700577,Cement,no,no,no,NA,no,no,no,Nothing,Piped water in the yard,male,38.2284300028712
-25.1631948619,32.7980609248,Adobe,no,no,no,yes,no,no,no,Nothing,NA,female,19.3129543421918
-25.4419294484,32.77660873,Without,no,no,no,yes,no,no,no,Nothing,NA,male,34.079399762929
-25.317222348,32.8266217607,Without,no,no,no,no,no,no,doesn't know,Nothing,NA,female,26.4729881948184
-25.053277628,32.7918493749,Without,no,no,no,no,no,no,no,NA,Protected well,female,30.8374289237204
-25.4294337419,32.7784709058,Adobe,no,no,no,yes,no,no,no,"Only water, without soap",NA,male,19.4831136267719
-25.3950781633,32.7896359809,Cement,yes,no,no,yes,no,no,no,Nothing,NA,female,35.7132990678665
-25.4118203676,32.9987572945,Cement,no,no,no,no,no,no,no,Nothing,Piped water in the yard,female,19.5319235774
-25.0120365976,32.8520641312,Mosaic / Hardboard,yes,no,no,yes,no,no,yes,Nothing,NA,male,32.9877623935566
-25.0573519297,32.7678021603,Cement,no,no,no,yes,no,no,yes,Nothing,Piped water in the yard,male,37.2910957922873
-25.2901254714,32.8458551885,Cement,no,no,no,NA,no,yes,no,Nothing,Piped water in the yard,male,33.2964635850343
-25.4711753299,32.7038637171,Cement,yes,no,no,yes,no,no,yes,NA,Unprotected well,male,33.5994599002711
-25.3881793786,32.7917764994,Cement,no,no,no,yes,no,no,yes,"yes, with water and soap",Piped water in the yard,female,41.6649544652783
-25.4836264877,32.5933956753,Mosaic / Hardboard,no,no,no,yes,no,no,yes,NA,Piped water in the house,male,48.438209929774
-25.3516438666,32.7834398096,Cement,no,no,no,NA,no,yes,yes,"Only water, without soap",Piped water in the yard,female,55.9131139175412
