data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
5280289,454,MAW305,305,"04 August 2016",2016,1,Protests,"Peaceful protest","Protesters (Malawi)",,6,,,0,60,"Eastern Africa",Malawi,Southern,Zomba,"Zomba City",Zomba,-15.3833,35.3333,1,"Nyasa Times (Malawi)",National,"Civil Society Organisations staged a protest in solidarity with the students protesting the increase in fees.",0,1561469182,MWI
5280286,454,MAW302,302,"04 August 2016",2016,1,Protests,"Peaceful protest","Protesters (Malawi)",,6,,,0,60,"Eastern Africa",Malawi,Southern,"Blantyre City","Blantyre City",Blantyre,-15.7833,35,1,"Nyasa Times (Malawi)",National,"Civil Society Organisations staged a protest in solidarity with the students protesting the increase in fees.",0,1561469182,MWI
5280287,454,MAW303,303,"04 August 2016",2016,1,Protests,"Peaceful protest","Protesters (Malawi)",,6,,,0,60,"Eastern Africa",Malawi,Central,"Lilongwe City","Lilongwe City",Lilongwe,-13.9833,33.7833,1,"Nyasa Times (Malawi)",National,"Civil Society Organisations staged a protest in solidarity with the students protesting the increase in fees.",0,1561469182,MWI
5280285,454,MAW301,301,"29 July 2016",2016,1,Riots,"Mob violence","Rioters (Malawi)",,5,"Civilians (Malawi)","Government of Malawi (2014-); Women (Malawi)",7,57,"Eastern Africa",Malawi,Central,Salima,Kachulu,Kachulu,-13.6111,34.5287,1,"Malawi News Agency",National,"A group of angry villagers burned down the house of the newly appointed Group Village Head Woman in Kaluunda. They also burned down 20 other houses belonging to relatives and supporters of the new Head Woman, and killed livestock.",0,1561469182,MWI
5280282,454,MAW299,299,"27 July 2016",2016,1,Protests,"Peaceful protest","Protesters (Malawi)",,6,,,0,60,"Eastern Africa",Malawi,Southern,"Blantyre City","Blantyre City",Blantyre,-15.7833,35,1,"Nyasa Times (Malawi)",National,"Students at Kamuzu College of Nursing Blantyre held a peaceful protest against fee hikes",0,1561469182,MWI
5280284,454,MAW300,300,"27 July 2016",2016,1,Protests,"Peaceful protest","Protesters (Malawi)",,6,,,0,60,"Eastern Africa",Malawi,Central,"Lilongwe City","Lilongwe City",Lilongwe,-13.9833,33.7833,1,"Nyasa Times (Malawi)",National,"Students at Kamuzu College of Nursing Lilongwe held a peaceful protest and delivered a letter petitioning for lower fees to the District Commissioner",0,1561469182,MWI
5280279,454,MAW296,296,"25 July 2016",2016,1,Riots,"Mob violence","Rioters (Malawi)",,5,"Civilians (Malawi)",,7,57,"Eastern Africa",Malawi,Central,Salima,Kachulu,Kachulu,-13.6111,34.5287,1,"Malawi News Agency",National,"A group of villagers disrupted the Area Development Committee meeting and beat up the secretary, who is also son to a suspended chief.",0,1561469182,MWI
5280280,454,MAW297,297,"25 July 2016",2016,1,Protests,"Peaceful protest","Protesters (Malawi)",,6,,,0,60,"Eastern Africa",Malawi,Central,"Lilongwe City","Lilongwe City",Lilongwe,-13.9833,33.7833,1,"Nyasa Times (Malawi)",National,"Although police had previously denied Billy Mayaya authorisation to protest against the Customary Land Bill, the police allowed the protests to go ahead peacefully.",0,1561469182,MWI
5280281,454,MAW298,298,"25 July 2016",2016,1,Riots,"Violent demonstration","Rioters (Malawi)",,5,"Police Forces of Malawi (2014-)",,1,15,"Eastern Africa",Malawi,Central,"Lilongwe City","Lilongwe City",Lilongwe,-13.9833,33.7833,1,"Nyasa Times (Malawi)",National,"Students at the Kamuzu College of Nursing in Lilongwe blocked the entrance to the hospital to protest the fee increases. The police attacked the students, firing teargas and confining them to campus.",0,1561469182,MWI
5280278,454,MAW295,295,"23 July 2016",2016,1,Protests,"Protest with intervention","Protesters (Malawi)",,6,"Police Forces of Malawi (2014-)",,1,16,"Eastern Africa",Malawi,Southern,"Blantyre City","Blantyre City",Blantyre,-15.7833,35,1,"Nyasa Times (Malawi)",National,"Parents of students arrested during fee hike protests at the Malawi Polytechnic were chased away from a vigil that they were holding at the Blantyre Police Station.",0,1561469182,MWI
